Company,Location,# Laid Off,Date,%,Industry,Source,Stage,$ Raised,Country,Date Added
BioMarin,,120,10/7/2022,9%,Healthcare,https://www.fiercebiotech.com,Post-IPO,$585 ,United States,11/19/2022
Peloton,,500,10/6/2022,9%,Fitness,https://www.wsj.com,Post-IPO,"$1,900 ",United States,10/6/2022
8x8,,200,10/4/2022,10%,Support,https://www.channelfutures.com,Post-IPO,$253 ,United States,1/18/2023
DocuSign,,671,9/28/2022,10%,Sales,https://www.sfgate.com,Post-IPO,$536 ,United States,9/28/2022
Volta,,,9/28/2022,11%,Transport,https://investors.volta.com,Post-IPO,$575 ,United States,10/3/2022
Compass,,271,9/20/2022,11%,Real Estate,https://www.geekwire.com,Post-IPO,"$1,600 ",United States,9/21/2022
Ouster,,,9/20/2022,75%,Transport,https://www.businessinsider.com,Post-IPO,$282 ,United States,9/24/2022
LivePerson,,193,9/15/2022,,Support,Internal memo,Post-IPO,$42 ,United States,9/15/2022
Twilio,,800,9/14/2022,,Other,https://techcrunch.com,Post-IPO,$614 ,United States,9/14/2022
Netflix,,30,9/14/2022,,Media,https://deadline.com,Post-IPO,"$121,900 ",United States,9/16/2022
Rubius,,160,9/13/2022,,Healthcare,https://www.fiercebiotech.com,Post-IPO,$445 ,United States,11/16/2022
Taboola,,100,9/13/2022,6%,Marketing,https://www.calcalistech.com,Post-IPO,$445 ,United States,9/13/2022
Rent the Runway,,,9/12/2022,24%,Retail,https://www.wsj.com,Post-IPO,$526 ,United States,9/13/2022
BigBear.ai,,,9/8/2022,7%,Data,https://www.bizjournals.com,Post-IPO,$200 ,United States,9/8/2022
Snap,,1280,8/31/2022,20%,Consumer,https://www.theverge.com,Post-IPO,"$4,900 ",United States,8/30/2022
GoodRx,,140,8/31/2022,16%,Healthcare,https://seekingalpha.com,Post-IPO,$910 ,United States,8/31/2022
Hippo Insurance,,70,8/31/2022,10%,Finance,https://www.globes.com,Post-IPO,"$1,300 ",United States,8/31/2022
TCR2,,30,8/31/2022,20%,Healthcare,https://www.fiercebiotech.com,Post-IPO,$173 ,United States,1/19/2023
Okta,,24,8/26/2022,,Security,https://www.unleashed.com,Post-IPO,"$1,200 ",United States,8/26/2022
Wayfair,,870,8/19/2022,5%,Retail,https://www.boston.com,Post-IPO,"$1,700 ",United States,8/19/2022
New Relic,,110,8/18/2022,5%,Infrastructure,https://www.marketwatch.com,Post-IPO,$214 ,United States,8/18/2022
Sema4,,250,8/15/2022,13%,Healthcare,https://ir.sema4.com,Post-IPO,$791 ,United States,8/15/2022
Blend,,220,8/15/2022,12%,Finance,https://www.housing.com,Post-IPO,$665 ,United States,8/16/2022
ContraFect,,16,8/15/2022,37%,Healthcare,https://www.benzinga.com,Post-IPO,$380 ,United States,8/15/2022
ThredUp,,,8/15/2022,15%,Retail,https://www.retaildive.com,Post-IPO,$305 ,United States,8/16/2022
Peloton,,784,8/12/2022,13%,Fitness,https://www.cnbc.com,Post-IPO,"$1,900 ",United States,8/12/2022
Core Scientific,,,8/12/2022,10%,Crypto,https://blockworks.com,Post-IPO,$169 ,United States,8/12/2022
Guidewire,,,8/11/2022,2%,Finance,Internal memo,Post-IPO,$24 ,United States,8/12/2022
GoHealth,,800,8/9/2022,20%,Healthcare,https://www.chicagobusiness.com,Post-IPO,$75 ,United States,8/11/2022
Nutanix,,270,8/9/2022,4%,Infrastructure,https://www.marketscout.com,Post-IPO,"$1,100 ",United States,8/9/2022
Quanterix,,130,8/9/2022,25%,Healthcare,https://www.genomeweb.com,Post-IPO,$533 ,United States,11/16/2022
Absci,,40,8/9/2022,,Healthcare,https://www.absci.com,Post-IPO,$237 ,United States,8/10/2022
Berkeley Lights,,,8/9/2022,12%,Healthcare,https://investors.berkeley.com,Post-IPO,$272 ,United States,8/9/2022
Kaltura,,,8/9/2022,10%,Media,https://en.globes.co.il,Post-IPO,$166 ,United States,8/9/2022
Groupon,,500,8/8/2022,15%,Retail,https://techcrunch.com,Post-IPO,"$1,400 ",United States,8/8/2022
Vroom,,337,8/8/2022,,Transport,https://www.autonews.com,Post-IPO,"$1,300 ",United States,8/8/2022
